DateTime,WaterCol,Epi,Meta,Hypo
2016-02-05T05:00:00Z,3.7003424561027494,3.6999999999999997,3.7000000000000006,3.712297559764083
2016-03-30T05:00:00Z,11.381022656168952,12.082040007663164,10.195815692547503,6.9918016268239445
2016-04-04T05:00:00Z,11.957203040791894,12.511751666985965,11.119434863279968,7.422402169098593
2016-04-06T05:00:00Z,11.334625657939965,11.942173004406316,10.32387517722144,7.355735502431926
2016-04-11T05:00:00Z,10.326593868228905,10.542904667560702,10.150129900746165,6.957203148504466
2016-04-20T05:00:00Z,14.605272738941752,16.01937934853194,11.973952616180107,8.311884282313967
2016-04-25T05:00:00Z,14.83430148792287,16.346563345466674,11.955361358649409,8.795900813411972
2016-05-02T05:00:00Z,16.746724074321115,18.707627681545972,12.985601990163522,9.215983468901994
2016-05-04T05:00:00Z,17.231501233987323,19.23689601839159,13.391237673882612,9.463933875607982
2016-05-09T05:00:00Z,15.654303699903274,16.96177401417685,13.237521579547687,9.663933875607981
2016-05-12T05:00:00Z,16.093187352118687,17.907237692518404,12.545033535927226,9.857946172049916
2016-05-16T05:00:00Z,15.60750631455724,17.068324860230575,12.794411144775998,10.116181225391202
2016-05-23T05:00:00Z,15.92266846299717,17.496398644376487,12.861138487019375,10.336978595616326
2016-05-26T05:00:00Z,16.633801226404685,18.405963566796576,13.17762387787075,10.435568878032436
2016-05-29T05:00:00Z,17.968451201146834,20.29840773600267,13.351805228872795,10.592563837993781
2016-05-30T05:00:00Z,17.968679845825957,19.839607616329697,14.394285432475886,10.632837446422085
2016-05-31T05:00:00Z,19.01411656933045,21.116479945015747,15.003644381767643,10.706105386881756
2016-06-01T05:00:00Z,18.69869277969391,20.629066330751115,15.045077773864545,10.764028798708006
2016-06-02T05:00:00Z,19.318455386038533,21.545534479017313,15.039870144009818,10.839202404656293
2016-06-03T05:00:00Z,19.520108547265522,21.869632483493998,14.972999653685461,10.929082776403433
2016-06-06T05:00:00Z,20.080671557793742,22.629985630501405,15.111598882712022,11.135001549468544
2016-06-07T05:00:00Z,20.404466622695946,23.149640409365574,15.006400578933459,11.274360747745396
2016-06-08T05:00:00Z,19.97828449518991,22.612489371089687,14.793226907531986,11.272603219722317
2016-06-09T05:00:00Z,19.301676482604073,21.35958188532329,15.360971537789545,11.32949680072385
2016-06-13T05:00:00Z,20.254156427757728,22.63529865909062,15.647408483275798,11.530984822517755
2016-06-20T05:00:00Z,21.208027504207394,23.704325179258525,16.398916574129746,11.845509598819703
2016-06-23T05:00:00Z,21.197292269292067,23.34087986607665,17.179475939810615,11.967270629035328
2016-06-26T05:00:00Z,21.17197351332121,23.643719521429624,16.39192319553544,12.095724953456001
2016-06-27T05:00:00Z,21.646160076063662,23.4653589977728,18.371575000011024,12.373229851749148
2016-06-30T05:00:00Z,21.535001052291697,23.171166461761757,18.673096890698908,12.308993753204735
2016-07-05T05:00:00Z,21.2096819951765,22.73665357067753,18.535664484352104,12.632511009567805
2016-07-07T05:00:00Z,22.120742981998845,24.149907377296884,18.379775293742163,12.719229688867816
2016-07-11T05:00:00Z,22.24282724553817,24.233650962734195,18.58138513565931,12.924824093942586
2016-07-14T05:00:00Z,22.528310706230545,24.616473944618495,18.655141895427164,13.102919816236797
2016-07-18T05:00:00Z,23.34617447519117,25.684826701795764,18.95250344910542,13.385223840679194
2016-07-21T05:00:00Z,23.80987354693898,26.345663809344416,19.003225856578265,13.462936846699364
2016-07-24T05:00:00Z,24.430932202051928,27.251538825397976,19.028388975282187,13.518301319934288
2016-07-26T05:00:00Z,24.703079832956817,27.221184700143223,20.002336460951675,13.657640271941602
2016-08-01T05:00:00Z,25.774635000856446,27.486008342393966,22.95184839321827,14.307392778776896
2016-08-08T05:00:00Z,24.15940232305043,25.332483703121046,22.361658501169057,14.838561583827369
2016-08-11T05:00:00Z,24.31926109735275,25.62385177877125,22.219861051362333,15.019493234385918
2016-08-15T05:00:00Z,25.226600179070097,26.896718937210508,22.35588269726202,15.270635316811363
2016-08-18T05:00:00Z,25.097749127366136,26.768136015755232,22.20196513292475,15.402169666401294
2016-08-23T05:00:00Z,24.372709717174757,25.67976988465176,22.212438302323463,15.661142097620306
2016-08-26T05:00:00Z,25.90346794366993,27.708693935286764,22.7430679351963,15.75379318536916
2016-09-02T05:00:00Z,24.279128640195633,25.599492598931036,22.047920776709248,16.00005913147515
2016-09-06T05:00:00Z,23.782751981753155,25.04106933054833,21.63570848715873,16.112968956015226
2016-09-09T05:00:00Z,23.748783655543058,25.013915604894073,21.579334827158192,16.15221739888776
2016-09-16T05:00:00Z,23.4247369103693,24.4802681286963,21.68492757175232,16.33911954505245
2016-09-17T05:00:00Z,23.133340658232708,24.084708098690218,21.602335245344925,16.351804774033408
2016-09-20T05:00:00Z,23.12332682036987,23.770510001915788,22.28039979608657,16.39590081341197
2016-09-27T05:00:00Z,21.741001683693078,22.425608466289578,20.662721449114063,16.61146129897319
2016-09-30T05:00:00Z,20.990772803897027,21.54909105859408,20.125991659067036,16.652126471125513
2016-10-05T05:00:00Z,20.318560479476364,20.700440261009565,19.696007692538494,17.681685651508108
2016-10-06T05:00:00Z,19.646202712155763,19.723994168452524,19.588656061375083,18.371498593951333
2016-10-07T05:00:00Z,19.682988969829143,19.800057883645803,19.494925871045012,18.84496162663619
2016-10-11T05:00:00Z,17.026419137933726,17.117556672047783,16.860485929641058,16.581930070403406
2016-10-14T05:00:00Z,16.41312435593366,16.477788828478346,16.29147671370267,16.139417814527008
